neuron_id,subclass,main_class,n_nodes,n_tips,n_bpts,max_reach,total_len
1,PA,1,189,21,14,196.18195992496354,821.4455332492672
2,PA,1,183,22,15,161.2930702169191,839.753146846922
3,PA,1,159,17,10,207.76482883298607,754.9925829693548
4,PA,1,159,16,9,200.12407426394256,739.248515480654
5,PA,1,165,19,12,210.6808548492245,784.3458956098052
6,PA,1,159,19,12,180.8435461939408,742.3902653446651
7,PA,1,165,20,13,210.97896885708775,789.019696004663
8,PA,1,177,20,13,212.6456914682261,851.0351269679043
9,PA,1,147,16,9,185.0753800482387,694.0662968330352
10,PA,1,213,27,20,191.5812373381068,914.3935369143857
11,PA,1,177,22,15,184.4608427282061,822.9301875651042
12,PA,1,195,25,18,214.11817718260167,937.903751743843
13,PA,1,177,21,14,170.24982525688537,772.5213512649517
14,PA,1,159,18,11,182.653858705476,749.6926893189933
15,PA,1,147,15,8,194.04084363865255,706.1120586944702
16,PA,1,195,25,18,209.1778002083395,901.6043026731479
17,PA,1,165,20,13,169.32960638943212,759.8390868243325
18,PA,1,177,21,14,209.0629364569435,842.0447571254902
19,PA,1,177,19,12,162.54807073601336,831.8423612115151
20,PA,1,189,22,15,177.8719308941127,843.7298347921809
21,PA,1,165,19,12,200.34915073441167,781.5243209124997
22,PA,1,213,26,19,186.66600038571568,908.5852639565034
23,PA,1,189,23,16,206.01380803237436,844.0618802280375
24,PA,1,183,23,16,207.14120159929556,869.5094314058588
25,PA,1,177,22,15,203.03204008234758,816.7273848796981
26,PA,1,153,17,10,210.16153739445286,743.3379082441503
27,PA,1,183,21,14,179.1528735465887,781.2502164610395
28,PA,1,171,20,13,181.54141152916046,779.679128767726
29,PA,1,183,21,14,192.00971043153,858.6554497784072
30,PA,1,165,20,13,195.00212434740294,816.6363273405088
31,PA,1,195,24,17,199.43486630978043,905.5675826202591
32,PA,1,159,16,9,163.11830675923534,766.5733147230409
33,PA,1,159,17,10,166.4676467064997,699.5204036302496
34,PA,1,213,25,18,173.34935967577152,870.5410403145945
35,PA,1,177,21,14,208.34012815585962,822.4632798815571
36,PA,1,177,21,14,193.77388394724403,791.3809566625713
37,PA,1,195,24,17,161.20794614410295,879.5979448716596
38,PA,1,225,27,20,165.38649763508508,935.880603643854
39,PA,1,201,24,17,206.0996239686041,949.4502667391292
40,PA,1,159,17,10,207.41883087125913,791.1408146174086
41,PA,1,207,23,16,201.82270288547815,949.5032661347482
42,PA,1,171,18,11,167.21881174078473,790.178093337445
43,PA,1,189,21,14,189.19508978829234,861.176500701435
44,PA,1,159,19,12,163.83579157192727,720.6239478197402
45,PA,1,171,20,13,196.2122712778179,830.1684739318835
46,PA,1,207,25,18,214.68290104244448,958.074048932822
47,PA,1,165,19,12,208.0682947976457,784.4576460002438
48,PA,1,159,18,11,207.03113703015785,805.8995568490103
49,PA,1,165,19,12,176.32554125820798,756.2678590379377
50,PA,1,177,21,14,202.02055687478935,827.1244881174439
51,PA,1,165,19,12,200.4478737727093,765.0494533429679
52,PA,1,183,21,14,210.86344609723136,876.2991684944342
53,PA,1,165,20,13,201.67024297104416,775.6793462696376
54,PA,1,141,16,9,167.4654071741385,668.3032306895475
55,PA,1,159,19,12,161.33001704580585,732.3382879622352
56,PA,1,153,17,10,188.29243797879937,706.1085027688443
57,PA,1,201,24,17,164.6931428445034,884.9987765771333
58,PA,1,201,23,16,185.90336333697678,876.8040011431574
59,PA,1,195,25,18,180.39990604210413,871.6646799828354
60,PA,1,195,24,17,213.42803986355682,851.5474377389921
61,PA,1,195,23,16,201.47542132974928,905.5697358668587
62,PA,1,201,25,18,167.232347648414,852.2552193850074
63,PA,1,153,16,9,197.33325746057102,736.798779951891
64,PA,1,171,20,13,206.53097346403032,819.0264006821011
65,PA,1,159,19,12,205.5057889695568,787.793437469104
66,PA,1,189,22,15,169.8282723812499,877.7811617035394
67,PA,1,153,18,11,209.69480751797357,725.2161269142451
68,PA,1,171,20,13,181.46594694322127,792.1970727386489
69,PA,1,135,14,7,213.47411318471381,695.9945686916675
70,PA,1,177,21,14,173.34694718973276,793.6933909255349
71,PA,1,177,20,13,204.70365433963312,874.7659277034899
72,PA,1,201,24,17,176.48386271837998,866.6731872220181
73,PA,1,129,12,5,185.0414118515096,648.6246485471936
74,PA,1,201,22,15,199.35946955186253,876.0151183017236
75,PA,1,165,19,12,210.5376617140031,819.2495759952137
76,PA,1,171,21,14,186.7587933672736,817.4730061165355
77,PA,1,159,19,12,195.83548222934473,777.6799652024672
78,PA,1,159,19,12,178.8679479392549,757.649271581567
